"Informazioni cronologiche","How old are you? / Quanti anni hai?","How much do you know the problem of plastic pollution in the ocean? / Quanto conosci il problema dell'inquinamento della plastica negli oceani?","How much important is plastic pollution for you?/ Quanto è importante per te l'inquinamento della plastica?","Do you think sensibilization can help people to reduce the amount of plastic improperly trashed?/  Pensi che la sensibilizzazione possa aiutare la gente a ridurre la quantità di plastica buttata impropriamente?","What kind of stuff would you like to be made starting from recycled plastic? / Che tipo di cose ti piacerebbe fossero realizzate partendo dalla plastica riciclata?","How do you imagine the future of our oceans? / Come immagini il futuro dei nostri oceani? ","Imagine you are on one of those plastic islands. How do you feel? /Immagina di essere su una di queste isole di plastica. Come ti sentiresti?","What does increase more your awareness around an issue? Knowing all its worst consequences or all the best things after overcoming that? /  Che cosa aumenta di più la tua sensibilità su un problema? Sapere tutte le sue conseguenze peggiori o le cose migliori dopo la risoluzione?","What does make you feel more unconfortable in a claustrophobic situation? / Che cosa ti da una sensazione maggiore di claustrofobia? ","Would you like to try any virtual trips (for example 4D experience) in order to increase awareness about this topic?/ Ti piacerebbe provare dei viaggi virtuali di sensibilizzazione su questo tema (per esempio un'esperienza 4D)?","How much intense can be the virtual unconfortable experience you would like to have? (claustrophobic for example) / Quanto intensa può essere l'esperienza virtuale di disagio che vorresti avere? (Claustrofobica per esempio)"
"2021/03/23 9:46:36 PM EET","33","4","3","Maybe (Forse)","Asdf","Hujhu","Nada","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","No (No)","3"
"2021/03/23 9:55:22 PM EET","21","3","5","Maybe (Forse)","","La situazione peggiorerà per una decina di anni poi inizierà a migliorare","","The worst things (Le cose peggiori)","Other (Altro)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","1"
"2021/03/23 9:56:37 PM EET","27","3","5","Maybe (Forse)","Anything","Dirty","Bad","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","3"
"2021/03/23 10:01:47 PM EET","26","2","3","Maybe (Forse)","Le confezioni usa e getta. ","Purtroppo pieno di plastica","Sconvolta e anche in colpa","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/23 10:04:03 PM EET","22","3","5","Maybe (Forse)","","","","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","2"
"2021/03/23 10:04:26 PM EET","22 quasi 23","3","5","Yes (Sì)","Esistono delle aziende che vorrebbero usare la plastica riciclata per imballaggi se non sbaglio e fanno fatica a trovare materie prime di qualità. Sarebbe utile partire da cose come questa.","Non bene","Male","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/23 10:05:14 PM EET","23","2","4","Yes (Sì)","Daily tools","Not a good future if the situation doesn't change","Angry","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","4"
"2021/03/23 10:05:43 PM EET","26","4","5","Yes (Sì)","Qualcosa di utile","Puliti e popolati anche da flora e fauna in estinzione ","Disperata e con un senso di soffocamento ","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","5"
"2021/03/23 10:05:54 PM EET","38","4","3","Maybe (Forse)","Bottiglie","Molto male","Male","The worst things (Le cose peggiori)","Other (Altro)","Yes (Sì)","1"
"2021/03/23 10:07:22 PM EET","23","5","5","Maybe (Forse)","Indumenti","Dipende da noi","Disperato","The best things (Le cose migliori)","Other (Altro)","Yes (Sì)","1"
